,cuest_id_b,parcela,cultivo,temporary_,superf_par,Y,X,patca,correccion,corregido,corregido2,area,geometry,ID,time_x,time_y,temporary_crop,trends
1,3865,12,yuca,1,1.8863997,18.709612,-71.68393399999998,1,ok,ok,ok,15123.949,"POLYGON ((-71.68327079147308 18.70962150177114, -71.68330017018475 18.70942575030631, -71.68339159241557 18.70924823036124, -71.68353610896553 18.7091063187613, -71.68371957351278 18.70901390670195, -71.68392402736764 18.70898004002022, -71.68412945735658 18.70900803376303, -71.6843157547769 18.70909514771018, -71.68446468369424 18.70923285460526, -71.68456166594352 18.70940767483861, -71.68459720812803 18.70960249588698, -71.68456783093677 18.7097982473686, -71.68447640979797 18.7099757677622, -71.68433189349452 18.71011768007109, -71.6841484282541 18.71021009282899, -71.68394397303118 18.71024395993209, -71.68373854152182 18.71021596617248, -71.68355224300944 18.71012885177679, -71.68340331384562 18.70999114417278, -71.68330633228949 18.70981632324086, -71.68327079147308 18.70962150177114))",386512,Baseline,1. Follow-up1,0,no trend
2,3960,11,sandia,1,1.8863997,18.398572,-70.828074,0,Revisar área,se movió hacía la derecha,ok,11223.063,"POLYGON ((-70.826473280282 18.39845825404695, -70.82628114408956 18.39759634818283, -70.82646681586401 18.39759706073858, -70.82700829200836 18.39786146781893, -70.82712670973194 18.39817986782597, -70.82720272855551 18.39956088983683, -70.8268781305805 18.39952906034449, -70.82665610134919 18.39843652620638, -70.826473280282 18.39845825404695))",396011,Baseline,1. Follow-up1,1,trend
5,3718,11,cero,0,1.2575998,18.424549,-71.78182099999998,0,revisar área,ok,ok,15121.632,"POLYGON ((-71.78115894654395 18.42455870359265, -71.78118820858474 18.42436295237226, -71.78127941250398 18.42418541289174, -71.78142363047299 18.42404346389072, -71.78160674539605 18.42395100022744, -71.78181083280394 18.42391707279102, -71.78201591538947 18.42394500257503, -71.78220191845278 18.42403205561844, -71.78235063487172 18.42416971062456, -71.78244750728311 18.42434449306129, -71.78248305304511 18.42453929410441, -71.78245379250063 18.42473504533087, -71.78236258966309 18.42491258524591, -71.78221837194803 18.42505453494392, -71.78203525635415 18.42514699930045, -71.78183116760688 18.42518092716155, -71.78162608352505 18.42515299737148, -71.78144007938003 18.42506594389354, -71.78129136270717 18.42492828819042, -71.7811944909666 18.42475350506045, -71.78115894654395 18.42455870359265))",371811,Baseline,1. Follow-up1,1,no trend
6,3720,11,habichuela negra,1,2.2007997,18.317826999999998,-71.593568,0,mover hacia arriba,ok,ok,15125.844,"POLYGON ((-71.59290625088707 18.31783599680354, -71.59293572867323 18.31764024771227, -71.59302709742592 18.31746277933554, -71.59317141318421 18.317320963452, -71.59335454928261 18.31722868188996, -71.59355857918038 18.31719496771488, -71.5937635311993 18.317223121047, -71.59394934341829 18.31731038604471, -71.59409782739355 18.31744822066458, -71.59419444851264 18.31762313279213, -71.59422974873065 18.31781800090643, -71.59420027242655 18.31801375001685, -71.59410890473583 18.31819121883391, -71.59396458921383 18.31833303541074, -71.59378145243573 18.31842531765423, -71.59357742120194 18.31845903223862, -71.59337246770097 18.31843087888734, -71.59318665442001 18.3183436134493, -71.59303817020846 18.31820577813614, -71.59294154976905 18.31803086532715, -71.59290625088707 18.31783599680354))",372011,Baseline,1. Follow-up1,0,no trend
10,3727,12,maiz grano/mazorca,1,9.1175985,18.633328,-70.754194,0,mover hacia el centro del cultivo y revisar área,Se movió hacia arriba y derecha,ok,15141.133,"POLYGON ((-70.75266291862881 18.6339054256724, -70.75269338034043 18.63370971146509, -70.75278579179574 18.63353254989802, -70.75293110697264 18.63339128270992, -70.7531151013863 18.63329973801681, -70.75331976448956 18.63326687675807, -70.75352506262948 18.63329591557278, -70.75371090000547 18.63338401195176, -70.75385908570536 18.63352254247742, -70.7539551143032 18.63369794691735, -70.7539895857428 18.63389305555586, -70.75395912552187 18.6340887698499, -70.75386671508731 18.63426593190843, -70.75372140007131 18.63440719980498, -70.75353740489727 18.63449874515296, -70.75333274040278 18.63453160676282, -70.75312744077218 18.63450256786139, -70.75294160237544 18.63441447099095, -70.75279341651463 18.63427593975682, -70.75269738867718 18.63410053466203, -70.75266291862881 18.6339054256724))",372712,Baseline,1. Follow-up1,0,no trend
12,3728,11,maiz grano/mazorca,1,1.8863997,18.773367999999998,-70.891994,1,mover hacia el centro del cultivo,ok,ok,15139.016,"POLYGON ((-70.89133017411068 18.77337472093807, -70.89136048401467 18.77317899847342, -70.8914528067032 18.77300177688928, -70.89159810484071 18.7728604037996, -70.89178215560841 18.77276871768601, -70.89198694294238 18.77273569332955, -70.8921924210303 18.77276456333274, -70.89237847645934 18.77285250170957, -70.89252689697534 18.77299090050849, -70.89262315416886 18.77316621239218, -70.89265782560756 18.77336127670656, -70.89262751721068 18.77355699924906, -70.89253519556122 18.77373422132248, -70.89238989759784 18.77387559512602, -70.89220584607283 18.77396728190535, -70.89200105733937 18.77400030662514, -70.89179557774435 18.77397143654412, -70.89160952127627 18.77388349767799, -70.89146110058611 18.77374509816523, -70.8913648441499 18.77356978561579, -70.89133017411068 18.77337472093807))",372811,Baseline,1. Follow-up1,0,no trend
14,3767,11,maiz grano/mazorca,1,1.2575998,18.426375,-71.781766,0,mover hacia el centro del cultivo y revisar área,Se movió hacia la izquierda,ok,15121.601,"POLYGON ((-71.78243733818482 18.426633232966, -71.78246659875681 18.42643748173138, -71.78255780205744 18.42625994169875, -71.78270202031848 18.42611799166177, -71.78288513641569 18.42602552658009, -71.78308922576488 18.42599159748166, -71.78329431086883 18.42601952552269, -71.78348031678122 18.42610657691279, -71.78362903610103 18.42624423051709, -71.78372591118116 18.42641901194072, -71.78376145911851 18.42661381245864, -71.78373220004303 18.42680956369927, -71.78364099782435 18.42698710416642, -71.78349677981736 18.42712905490047, -71.78331366304931 18.42722152067552, -71.78310957236063 18.42725545019878, -71.78290448576016 18.42722752215174, -71.78271847876584 18.42714047032711, -71.78256975919196 18.42700281602574, -71.78247288478268 18.42682803390873, -71.78243733818482 18.426633232966))",376711,Baseline,1. Follow-up1,0,no trend
16,3776,11,maiz grano/mazorca,1,3.1439996,18.79905,-71.07338399999999,1,revisar área y mover al centro,Se movió hacia arriba,"ok, árboles",15136.051,"POLYGON ((-71.07292621625848 18.79994186699027, -71.07295631481071 18.79974613457237, -71.07304844985931 18.79956883989932, -71.07319360243416 18.79942733774065, -71.07337756396272 18.79933547921206, -71.07358232711471 18.79930225597051, -71.07378784844437 18.79933092008481, -71.0739740103071 18.79941866572084, -71.07412259003235 18.79955690379277, -71.07421904362853 18.79973210269643, -71.07425392943985 18.79992711283828, -71.07422383240171 18.80012284532052, -71.07413169840687 18.80030014047491, -71.07398654602297 18.80044164334806, -71.07380258374955 18.80053350255137, -71.0735978192015 18.80056672617015, -71.07339229635772 18.80053806199152, -71.07320613344125 18.80045031587415, -71.07305755352508 18.80031207708774, -71.07296110067371 18.80013687750936, -71.07292621625848 18.79994186699027))",377611,Baseline,1. Follow-up1,0,no trend
20,3789,11,cero,0,2.2007997,18.725346,-70.892527,1,revisar área,Se movió hacia arriba,ok,15139.033,"POLYGON ((-70.89184706834811 18.72569432756001, -70.89187737447558 18.72549860487392, -70.89196967549553 18.72532138451815, -70.89211493619386 18.72518001398662, -70.89229893741661 18.72508833151084, -70.89250366794928 18.72505531151597, -70.89270908753906 18.72508418617769, -70.89289508849868 18.72517212905386, -70.89304346390547 18.72531053175232, -70.89313968976552 18.72548584655373, -70.89317434671403 18.72568091251819, -70.89314404208925 18.72587663528152, -70.89305174210556 18.72605385612501, -70.89290648158122 18.72619522736844, -70.89272247960378 18.72628691050839, -70.89251774767595 18.72631993086599, -70.89231232658349 18.72629105612704, -70.89212632458761 18.72620311276316, -70.89197794900682 18.7260647093528, -70.89188172390148 18.72588939388721, -70.89184706834811 18.72569432756001))",378911,Baseline,1. Follow-up1,1,no trend
21,3790,11,limon,0,12.575998,18.713262,-70.94209600000002,1,mover hacia el centro del cultivo y revisar área,Se movió hacia la izquierda,ok,15138.248,"POLYGON ((-70.94343656123459 18.713113272596, -70.94346680630807 18.71291754684271, -70.94355904547783 18.71274030626485, -70.94370424958363 18.71259890033624, -70.94388820501057 18.71250717075337, -70.94409290502628 18.71247409655233, -70.94429831236478 18.71250291521433, -70.94448432053805 18.71259080577832, -70.9446327219177 18.71272916497239, -70.94472898996814 18.71290444933564, -70.94476370119528 18.71309950090792, -70.94473345762462 18.71329522673437, -70.94464121949409 18.71347246779703, -70.94449601556698 18.7136138744369, -70.94431205938994 18.71370560468581, -70.94410735798186 18.71373867925326, -70.94390194914055 18.7137098605181, -70.94371593992805 18.7136219694693, -70.94356753836971 18.71348360956398, -70.94347127106937 18.71330832453469, -70.94343656123459 18.713113272596))",379011,Baseline,1. Follow-up1,1,no trend
