,ID,patca,geometry,tStart,tEnd,tBreak,numObs
0,386311,1,"POLYGON ((-71.707527 18.892591, -71.70756299999999 18.892786, -71.70766 18.892961, -71.707809 18.893098, -71.70799599999999 18.893185, -71.708201 18.893213, -71.708406 18.893179, -71.70859 18.893087, -71.70873400000001 18.892945, -71.708826 18.892768, -71.708855 18.892572, -71.70882 18.892377, -71.70872199999999 18.892202, -71.708573 18.892064, -71.708387 18.891977, -71.708181 18.891949, -71.707976 18.891983, -71.707793 18.892076, -71.70764800000001 18.892218, -71.70755699999999 18.892395, -71.707527 18.892591))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,131
1,386512,1,"POLYGON ((-71.683271 18.709622, -71.683306 18.709816, -71.683403 18.709991, -71.68355200000001 18.710129, -71.683739 18.710216, -71.683944 18.710244, -71.68414799999999 18.71021, -71.684332 18.710118, -71.684476 18.709976, -71.684568 18.709798, -71.684597 18.709602, -71.684562 18.709408, -71.684465 18.709233, -71.684316 18.709095, -71.684129 18.709008, -71.683924 18.70898, -71.68371999999999 18.709014, -71.683536 18.709106, -71.683392 18.709248, -71.6833 18.709426, -71.683271 18.709622))",2011-01-17 15:02:04.340,2019-12-17 15:09:03.062,,128
2,396011,0,"POLYGON ((-70.82647299999999 18.398458, -70.826656 18.398437, -70.82687799999999 18.399529, -70.827203 18.399561, -70.827127 18.39818, -70.82700800000001 18.397861, -70.82646699999999 18.397597, -70.82628099999999 18.397596, -70.82647299999999 18.398458))",2011-01-01 15:01:56.470,2015-03-25 15:08:16.830,2015-04-10 15:08:08.210,47
2,396011,0,"POLYGON ((-70.82647299999999 18.398458, -70.826656 18.398437, -70.82687799999999 18.399529, -70.827203 18.399561, -70.827127 18.39818, -70.82700800000001 18.397861, -70.82646699999999 18.397597, -70.82628099999999 18.397596, -70.82647299999999 18.398458))",2015-04-10 15:08:08.210,2018-01-28 15:08:41.000,2018-02-13 15:08:34.810,42
2,396011,0,"POLYGON ((-70.82647299999999 18.398458, -70.826656 18.398437, -70.82687799999999 18.399529, -70.827203 18.399561, -70.827127 18.39818, -70.82700800000001 18.397861, -70.82646699999999 18.397597, -70.82628099999999 18.397596, -70.82647299999999 18.398458))",2018-02-13 15:08:34.810,2019-09-12 15:09:01.304,2019-09-28 15:09:06.465,31
2,396011,0,"POLYGON ((-70.82647299999999 18.398458, -70.826656 18.398437, -70.82687799999999 18.399529, -70.827203 18.399561, -70.827127 18.39818, -70.82700800000001 18.397861, -70.82646699999999 18.397597, -70.82628099999999 18.397596, -70.82647299999999 18.398458))",2019-09-28 15:09:06.465,2019-12-17 15:09:03.062,,6
3,407811,1,"POLYGON ((-70.889976 18.746314, -70.88972800000001 18.746646, -70.889809 18.74682, -70.889955 18.746828, -70.890141 18.747001, -70.89043100000001 18.746927, -70.890534 18.746786, -70.890663 18.746605, -70.890777 18.746489, -70.890745 18.745945, -70.890243 18.746025, -70.890118 18.746131, -70.889976 18.746314))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,133
4,411411,0,"POLYGON ((-70.844359 18.431304, -70.84439399999999 18.4315, -70.84448999999999 18.431675, -70.844638 18.431813, -70.844824 18.431901, -70.845029 18.43193, -70.84523299999999 18.431897, -70.845417 18.431806, -70.845562 18.431664, -70.845654 18.431487, -70.845685 18.431292, -70.84565000000001 18.431096, -70.84555400000001 18.430921, -70.845406 18.430783, -70.84522 18.430695, -70.845015 18.430666, -70.84481100000001 18.430699, -70.844627 18.43079, -70.844482 18.430932, -70.84439 18.431109, -70.844359 18.431304))",2011-01-01 15:01:56.470,2018-10-11 15:08:34.800,2018-10-27 15:08:39.760,122
4,411411,0,"POLYGON ((-70.844359 18.431304, -70.84439399999999 18.4315, -70.84448999999999 18.431675, -70.844638 18.431813, -70.844824 18.431901, -70.845029 18.43193, -70.84523299999999 18.431897, -70.845417 18.431806, -70.845562 18.431664, -70.845654 18.431487, -70.845685 18.431292, -70.84565000000001 18.431096, -70.84555400000001 18.430921, -70.845406 18.430783, -70.84522 18.430695, -70.845015 18.430666, -70.84481100000001 18.430699, -70.844627 18.43079, -70.844482 18.430932, -70.84439 18.431109, -70.844359 18.431304))",2018-10-27 15:08:39.760,2019-12-17 15:09:03.062,,20
5,371811,0,"POLYGON ((-71.781159 18.424559, -71.781194 18.424754, -71.781291 18.424928, -71.78144 18.425066, -71.781626 18.425153, -71.781831 18.425181, -71.78203499999999 18.425147, -71.782218 18.425055, -71.782363 18.424913, -71.782454 18.424735, -71.782483 18.424539, -71.782448 18.424344, -71.78235100000001 18.42417, -71.782202 18.424032, -71.782016 18.423945, -71.781811 18.423917, -71.78160699999999 18.423951, -71.781424 18.424043, -71.781279 18.424185, -71.781188 18.424363, -71.781159 18.424559))",2011-01-17 15:02:04.340,2019-12-17 15:09:03.062,,129
