cuest_id_b,cuest_id,time,parcela,cultivo,temporary_crop,age,gender,superf_parcela_has,Y,X,provparcela_cod,munparcela_cod,month_siembra,year_siembra,since_siembra,month_harvest,year_harvest,VP_HA,treat_status_fu,patca
276,H0951,0. Baseline,11,pasto,0,45,Male,7.545599,19.528879,-71.46013600000001,dajabón,partido,no recuerda,1997,1997,,,0,0. Pure Control,0
389,H1213,0. Baseline,11,mango,0,60,Male,1.6977597,18.291666,-70.325005,peravia,villa fundacion,no recuerda,2004,2004,,,104.73095703125,0. Pure Control,0
393,H1217,0. Baseline,11,mango,0,56,Male,4.4015994,18.229546,-70.459127,peravia,bani,abril,2009,2009,,,0,0. Pure Control,0
466,H1200,0. Baseline,11,,0,48,Male,2.4837596,18.218817,-70.496776,peravia,bani,,,,,,0,0. Pure Control,0
481,H1214,0. Baseline,11,pasto,0,39,Male,5.9735994,18.29356,-70.323998,peravia,villa fundacion,no recuerda,2000,2000,,,0,0. Pure Control,0
515,H1218,0. Baseline,11,plátano,0,41,Male,1.8863997,18.225482,-70.451204,peravia,bani,mayo,2011,1990,,,0,0. Pure Control,0
544,H1216,0. Baseline,11,mango,0,51,Male,5.5963192,18.404163,-70.294353,peravia,bani,abril,2005,2005,,,355.8498840332031,0. Pure Control,0
544,H1216,0. Baseline,11,plátano,0,51,Male,5.5963192,18.404163,-70.294353,peravia,bani,marzo,2009,2009,,,355.8498840332031,0. Pure Control,0
568,H1201,0. Baseline,11,mango,0,57,Male,3.5841596,18.219846,-70.486276,peravia,bani,marzo,2010,2010,,,452.437744140625,0. Pure Control,0
568,H1201,0. Baseline,11,plátano,0,57,Male,3.5841596,18.219846,-70.486276,peravia,bani,enero,2010,2010,,,452.437744140625,0. Pure Control,0
793,H1197,0. Baseline,11,,0,58,Male,1.5719998,19.728777,-71.601699,monte cristi,pepillo salcedo manzanillo,,,,,,12845.6123046875,0. Pure Control,0
793,H1197,0. Baseline,12,,0,58,Male,1.5719998,19.729422,-71.587029,monte cristi,pepillo salcedo manzanillo,,,,,,12845.6123046875,0. Pure Control,0
949,H1702,0. Baseline,11,cafe,0,62,Male,3.7727995,18.610898,-70.728301,azua,peralta,no recuerda,1980,1980,,,1373.374816894531,1. Contaminated Control,0
949,H1702,0. Baseline,12,aguacate,0,62,Male,1.5719998,18.614407,-70.730096,azua,peralta,febrero,2002,2002,,,1373.374816894531,1. Contaminated Control,0
1108,H0848,0. Baseline,11,plátano,0,60,Male,1.8863997,19.3168,-70.505895,la vega,concepcion de la vega,no recuerda,2010,2005,,,2262.188720703125,0. Pure Control,0
1109,H0851,0. Baseline,21,berenjenas chinas,1,42,Male,.62879992,19.31678,-70.504563,la vega,concepcion de la vega,abril,2011,2005,julio,2011,1110.671997070313,0. Pure Control,0
1148,H0833,0. Baseline,11,vainitas,1,53,Male,1.8863997,19.37886,-70.326825,hermanas mirabal,villa tapia,julio,2011,2008,junio,2011,807.9246000000001,0. Pure Control,0
1148,H0833,0. Baseline,11,vainitas,1,53,Male,1.8863997,19.37886,-70.326825,hermanas mirabal,villa tapia,enero,2011,2008,diciembre,2011,807.9246000000001,0. Pure Control,0
1150,H0852,0. Baseline,11,yuca,1,70,Male,1.1318399,19.218753,-70.491992,la vega,concepcion de la vega,febrero,2011,1981,noviembre,2011,1508.125854492188,0. Pure Control,0
1165,H0850,0. Baseline,21,,0,52,Male,.62879992,19.217233,-70.475222,la vega,concepcion de la vega,,,,,,0,0. Pure Control,0
1166,H0844,0. Baseline,21,plátano,0,50,Male,2.1379197,19.290758,-70.490652,la vega,concepcion de la vega,febrero,2009,2005,,,5655.4716796875,0. Pure Control,0
1168,H0849,0. Baseline,11,cundeamor chino,1,77,Male,1.2575998,19.222808,-70.477045,la vega,concepcion de la vega,febrero,2011,1991,junio,2011,807.9246000000001,0. Pure Control,0
1168,H0849,0. Baseline,11,berenjenas chinas,1,77,Male,1.2575998,19.222808,-70.477045,la vega,concepcion de la vega,febrero,2011,1991,junio,2011,807.9246000000001,0. Pure Control,0
1271,H0842,0. Baseline,11,plátano,0,72,Female,6.2879992,19.304067,-70.501638,la vega,concepcion de la vega,febrero,2008,1982,,,2827.73583984375,0. Pure Control,0
1316,H0913,0. Baseline,11,,0,41,Male,1.5719998,18.859096,-70.36578900000001,monseñor nouel,villa de sonador,,,,,,0,0. Pure Control,0
1324,H0854,0. Baseline,21,,0,70,Male,2.2007997,19.116396,-70.607173,la vega,concepcion de la vega,,,,,,0,0. Pure Control,0
1364,H0902,0. Baseline,11,plátano,0,54,Male,2.5151997,18.813265,-70.417193,monseñor nouel,villa de sonador,no recuerda,2011,2011,,,329.9025268554688,0. Pure Control,0
1412,H0887,0. Baseline,21,tomate ensalada,1,48,Male,1.5719998,19.226785,-70.67020599999999,la vega,concepcion de la vega,marzo,2011,1998,junio,2011,9810.81591796875,0. Pure Control,0
1412,H0887,0. Baseline,21,pepino,1,48,Male,1.5719998,19.226785,-70.67020599999999,la vega,concepcion de la vega,marzo,2011,1998,mayo,2011,9810.81591796875,0. Pure Control,0
1413,H0883,0. Baseline,11,pasto,0,43,Male,5.6591992,19.229812,-70.66864099999999,la vega,concepcion de la vega,no recuerda,1990,1990,,,0,0. Pure Control,0
1414,H0881,0. Baseline,21,tomate ensalada,1,62,Male,1.5719998,19.22507,-70.650963,la vega,concepcion de la vega,marzo,2011,2000,julio,2011,7829.686462402344,0. Pure Control,0
1544,H0859,0. Baseline,11,plátano,0,54,Male,1.5719998,19.299296,-70.602851,la vega,concepcion de la vega,noviembre,1998,1998,,,3167.064208984375,0. Pure Control,0
1657,H0939,0. Baseline,11,plátano,0,60,Male,5.0303993,19.451326,-70.41982299999999,hermanas mirabal,salcedo,marzo,2010,2010,,,240.3575439453125,0. Pure Control,0
1659,H0940,0. Baseline,11,batata,1,60,Male,3.1439996,19.470979,-70.416321,hermanas mirabal,salcedo,abril,2011,2010,agosto,2011,128.1907005310059,0. Pure Control,0
1659,H0940,0. Baseline,11,habichuela roja,1,60,Male,3.1439996,19.470979,-70.416321,hermanas mirabal,salcedo,abril,2011,2010,julio,2011,128.1907005310059,0. Pure Control,0
1660,H0938,0. Baseline,11,yuca,1,38,Male,1.8863997,19.352806,-70.403158,hermanas mirabal,salcedo,febrero,2011,2007,noviembre,2011,2714.62646484375,0. Pure Control,0
1661,H0945,0. Baseline,11,plátano,0,47,Male,.88031989,19.340843,-70.380528,hermanas mirabal,salcedo,julio,2007,2007,,,1211.88671875,0. Pure Control,0
1662,H0944,0. Baseline,11,tindora,0,52,Male,.44015995,19.351541,-70.42872800000001,hermanas mirabal,salcedo,febrero,2011,2008,,,0,0. Pure Control,0
2082,H1152,0. Baseline,11,pasto,0,28,Male,1.8863997,19.680281,-71.039759,valverde,maizal,no recuerda,1980,1996,,,0,0. Pure Control,0
2153,H1139,0. Baseline,11,pasto,0,24,Female,4.0871997,19.68034,-71.03290699999999,valverde,maizal,marzo,2005,no recuerda,,,0,0. Pure Control,0
2154,H1129,0. Baseline,11,pasto,0,47,Male,5.3447995,19.634896,-71.00614,valverde,maizal,junio,1997,1997,,,0,0. Pure Control,0
2157,H1146,0. Baseline,11,pasto,0,73,Male,1.8863997,19.683488,-71.036182,valverde,maizal,abril,1992,no recuerda,,,0,0. Pure Control,0
2158,H1151,0. Baseline,11,yuca,1,35,Female,1.2575998,19.674784,-71.019712,valverde,maizal,enero,2011,no recuerda,enero,2012,3016.251708984375,0. Pure Control,0
2163,H1150,0. Baseline,11,pasto,0,42,Female,1.8863997,19.684824,-71.037008,valverde,maizal,no recuerda,1990,1990,,,0,0. Pure Control,0
2163,H1150,0. Baseline,12,pasto,0,42,Female,1.8863997,19.686546,-71.037601,valverde,maizal,junio,1990,1990,,,0,0. Pure Control,0
2164,H1158,0. Baseline,11,pasto,0,23,Female,.50303996,19.683826,-71.036517,valverde,maizal,no recuerda,1998,no recuerda,,,0,0. Pure Control,0
2168,H1148,0. Baseline,11,pasto,0,63,Male,4.0871997,19.680676,-71.033019,valverde,maizal,no recuerda,1998,1998,,,0,0. Pure Control,0
2172,H1128,0. Baseline,11,yuca,1,38,Male,3.1439996,19.65196,-71.034998,valverde,maizal,marzo,2011,1997,diciembre,2011,1055.688110351563,0. Pure Control,0
2239,H1145,0. Baseline,11,guineo,0,34,Male,20.121597,19.564009,-70.93919099999999,valverde,esperanza,septiembre,2008,2008,,,807.9246000000001,0. Pure Control,0
2252,H1192,0. Baseline,11,guineo,0,40,Female,1.8863997,19.800418,-71.579888,monte cristi,las matas de santa cruz,no recuerda,2006,2006,,,398.1452331542969,0. Pure Control,0
2256,H1111,0. Baseline,11,pasto,0,50,Male,18.863998,19.483813,-71.384062,santiago rodriguez,san ignacio de sabaneta,mayo,1990,1990,,,542.92529296875,0. Pure Control,0
2259,H1040,0. Baseline,11,pasto,0,40,Male,3.1439996,19.454658,-71.32201499999999,santiago rodriguez,san ignacio de sabaneta,mayo,2005,2005,,,271.462646484375,0. Pure Control,0
2261,H1115,0. Baseline,11,yuca,1,35,Male,25.151997,19.479418,-71.271045,santiago rodriguez,san ignacio de sabaneta,junio,2011,1990,mayo,2012,4222.75244140625,0. Pure Control,0
2261,H1115,0. Baseline,11,auyama,1,35,Male,25.151997,19.479418,-71.271045,santiago rodriguez,san ignacio de sabaneta,marzo,2011,2007,agosto,2011,4222.75244140625,0. Pure Control,0
2261,H1115,0. Baseline,11,pasto,0,35,Male,25.151997,19.479418,-71.271045,santiago rodriguez,san ignacio de sabaneta,no recuerda,2008,2004,,,4222.75244140625,0. Pure Control,0
2264,H1084,0. Baseline,11,pasto,0,52,Male,1.8863997,19.454456,-71.364475,santiago rodriguez,san ignacio de sabaneta,marzo,2005,2005,,,1017.984924316406,0. Pure Control,0
2265,H1112,0. Baseline,13,,0,34,Male,22.007998,19.556744,-71.39803000000001,santiago rodriguez,san ignacio de sabaneta,,,,,,0,0. Pure Control,0
2265,H1112,0. Baseline,12,,0,34,Male,2.2636797,19.54861,-71.40458099999999,santiago rodriguez,san ignacio de sabaneta,,,,,,0,0. Pure Control,0
2265,H1112,0. Baseline,11,pasto,0,34,Male,1.2575998,19.54862,-71.40453599999999,santiago rodriguez,san ignacio de sabaneta,marzo,2008,2008,,,0,0. Pure Control,0
2268,H1079,0. Baseline,11,yuca,1,57,Male,2.1379197,19.430139,-71.437254,santiago rodriguez,san ignacio de sabaneta,mayo,2011,1987,abril,2012,1809.7509765625,0. Pure Control,0
