,TOPONIMIA,count,percent,cumulative_count,cumulative_percent
0,AZUA,75,17.24137931034483,75,17.24137931034483
1,PUERTO PLATA,70,16.091954022988507,145,33.33333333333333
2,DAJABÓN,61,14.022988505747128,206,47.356321839080465
3,SANTIAGO RODRÍGUEZ,46,10.574712643678161,252,57.931034482758626
4,SAN JUAN,33,7.586206896551724,285,65.51724137931035
5,INDEPENDENCIA,33,7.586206896551724,318,73.10344827586206
6,SANTIAGO,30,6.896551724137931,348,80.0
7,ESPAILLAT,27,6.206896551724138,375,86.20689655172413
8,VALVERDE,15,3.4482758620689653,390,89.65517241379311
9,LA VEGA,12,2.7586206896551726,402,92.41379310344827
10,ELÍAS PIÑA,10,2.2988505747126435,412,94.71264367816093
11,MONTE CRISTI,8,1.839080459770115,420,96.55172413793103
12,PERAVIA,7,1.6091954022988506,427,98.16091954022988
13,HERMANAS MIRABAL,6,1.3793103448275863,433,99.54022988505747
14,MONSEÑOR NOUEL,2,0.45977011494252873,435,100.0
