,corregido,count,percent,cumulative_count,cumulative_percent
0,ok,95,25.198938992042443,95,25.198938992042443
1,se movió hacia la derecha,29,7.6923076923076925,124,32.891246684350136
2,se movió hacia la izquierda,24,6.36604774535809,148,39.257294429708224
3,se movió hacia abajo,24,6.36604774535809,172,45.62334217506631
4,se movió hacia arriba,19,5.039787798408488,191,50.663129973474796
5,revisar tipo de cultivo,11,2.9177718832891246,202,53.58090185676393
6,se movió hacia la derecha y abajo,10,2.6525198938992043,212,56.233421750663126
7,se movió hacia la izquierda y arriba,7,1.8567639257294428,219,58.09018567639257
8,"se movió hacia la derecha, la zona de influencia contiene árboles",6,1.5915119363395225,225,59.6816976127321
9,se movió hacia abajo y derecha,6,1.5915119363395225,231,61.273209549071616
10,se movió hacia la izquierda y abajo,5,1.3262599469496021,236,62.59946949602122
11,se movió hacia arriba e izquierda,5,1.3262599469496021,241,63.92572944297083
12,la zona de influencia contiene árboles,5,1.3262599469496021,246,65.25198938992042
13,se movió hacia la derecha y arriba,4,1.0610079575596816,250,66.3129973474801
14,se movió hacia arriba y derecha,4,1.0610079575596816,254,67.37400530503979
15,"se movió hacia la izquierda, zona de influencia contiene arbustos",3,0.7957559681697612,257,68.16976127320955
16,"se movió hacia la derecha y arriba, zona de influencia contiene arboles",3,0.7957559681697612,260,68.96551724137932
17,"se movió hacia arriba, la zona de influencia contiene árboles",3,0.7957559681697612,263,69.76127320954907
18,"se movió hacia abajo, zona de influencia contiene árboles",3,0.7957559681697612,266,70.55702917771883
19,"se movió hacia abajo, zona de influencia contiene arboles",3,0.7957559681697612,269,71.3527851458886
20,se movió hacia abajo e izquierda,3,0.7957559681697612,272,72.14854111405835
21,"ok, revisar tipo",3,0.7957559681697612,275,72.94429708222812
22,zona de influencia contiene arboles,2,0.5305039787798408,277,73.47480106100795
23,"se movió hacía la derecha, la zona de influencia contiene edificaciones",2,0.5305039787798408,279,74.0053050397878
24,se movió hacía la derecha,2,0.5305039787798408,281,74.53580901856765
25,"se movió hacia la izquierda, zona de influencia contiene arboles",2,0.5305039787798408,283,75.06631299734748
26,se movió hacia la izquierda y hacia abajo,2,0.5305039787798408,285,75.59681697612733
27,"se movió hacia la derecha, zona de influencia contiene arboles",2,0.5305039787798408,287,76.12732095490716
28,"se movió hacia arriba, zona de influencia contiene arbustos",2,0.5305039787798408,289,76.657824933687
29,"se movió hacia arriba, zona de influencia contiene arboles",2,0.5305039787798408,291,77.18832891246684
30,"se movió hacia arriba y la izquierda, la zona de influencia contiene árboles",2,0.5305039787798408,293,77.71883289124668
31,"se movió hacia abajo, revisar tipo de cultivo",2,0.5305039787798408,295,78.24933687002653
32,"se movió hacia abajo, la zona de influencia contiene árboles",2,0.5305039787798408,297,78.77984084880637
33,"se movió hacia abajo, la zona de influencia contiene arboles",2,0.5305039787798408,299,79.3103448275862
34,"revisar tipo de cultivo, se movió hacia la izquierda",2,0.5305039787798408,301,79.84084880636605
35,zona de influencia contiene árboles,1,0.2652519893899204,302,80.10610079575596
36,zona de influencia contiene edificaciones,1,0.2652519893899204,303,80.37135278514589
37,zona de influencia contiene arbustos,1,0.2652519893899204,304,80.63660477453581
38,zona de inflencia contiene arbustos,1,0.2652519893899204,305,80.90185676392572
39,se movío hacia la derecha y arriba,1,0.2652519893899204,306,81.16710875331566
40,"se movió hacía la izquierda, la zona de influencia contiene árboles y edificaciones",1,0.2652519893899204,307,81.43236074270557
41,"se movió hacía la izquierda, la zona de influencia contiene árboles",1,0.2652519893899204,308,81.6976127320955
42,se movió hacía la izquierda y arriba,1,0.2652519893899204,309,81.9628647214854
43,"se movió hacía arriba,  la zona de influencia contiene árboles",1,0.2652519893899204,310,82.22811671087533
44,"se movió hacia la izquierda, zona de influencia contiene árboles",1,0.2652519893899204,311,82.49336870026525
45,"se movió hacia la izquierda, la zona de influencia contiene árboles",1,0.2652519893899204,312,82.75862068965517
