nform,cuest_id,time,parcela,cultivo,nombre_parcela,provparcela_cod,munparcela_cod,superf_parcela_has,superficie_parcela,descanso_sino,temporary_crop,month_siembra,year_siembra,mixto_sino,since_siembra,month_harvest,year_harvest,age,female_head,transporte,tiempo_cant,tiempo_um
278,H0083,2,11,YUCA,KIARA,Espaillat,Gaspar Hern·ndez,2.6409597,42,No,Temporero,Enero,2019,No,2008,Noviembre,2019,50,0,Motor,30,Minutos
867,H0128,2,21,CILANTRO VERDE,CANCA,Espaillat,Moca,1.4462398,23,No,Temporero,Junio,2019,S√≠,2010,Julio,2019,60,0,Bicicleta,5,Minutos
867,H0128,2,21,TABACO,CANCA,Espaillat,Moca,1.4462398,23,No,Temporero,Noviembre,2019,S√≠,2016,0,0,60,0,Bicicleta,5,Minutos
871,H0129,2,11,,FINCA TURIN,Espaillat,Moca,1.2575998,20,SÌ,,,,,,,,36,0,A pie,1,Minutos
863,H0131,2,11,PL√ÅTANO,CANCA,Espaillat,Moca,0.75455987,12,No,Permanente,Febrero,2016,No,1990,,,87,0,A pie,0,Minutos
503,H0137,2,21,√ëAME,JUAN LOPEZ 2,Espaillat,Jamao Al Norte,3.0182395,48,No,Temporero,Febrero,2019,No,2015,,,47,0,Transporte p˙blico,20,Minutos
28,H0138,2,21,PL√ÅTANO,LOS GONZALEZ,Espaillat,Jamao Al Norte,1.8863997,30,No,Permanente,Mayo,2014,No,2015,,,72,0,Motor,30,Minutos
31,H0140,2,21,BATATA,JUAN LOPEZ,Espaillat,Jamao Al Norte,1.8863997,30,No,Temporero,Septiembre,2019,No,2014,,,49,0,AutÛmovil,15,Minutos
1006,H0143,2,11,YUCA,CACIQUE,Espaillat,Moca,1.8863997,30,No,Temporero,Enero,2019,No,2019,Enero,2020,68,1,AutÛmovil,5,Minutos
30,H0145,2,11,PL√ÅTANO,MONTE LA JAGUA,Espaillat,Moca,0.94319987,15,No,Permanente,Abril,2014,No,2005,,,66,0,AutÛmovil,25,Minutos
30,H0145,2,12,,SARAMBAMBA,Espaillat,Moca,3.0182395,48,SÌ,,,,,,,,66,0,AutÛmovil,25,Minutos
770,H0148,2,11,YUCA,LOS MUÒOZ,Espaillat,Moca,1.2575998,20,No,Temporero,Septiembre,2019,No,2019,,,45,0,A pie,2,Minutos
504,H0150,2,11,PL√ÅTANO,MONTE LA JAGUA,Espaillat,Moca,0.75455987,12,No,Permanente,Abril,2005,No,2002,,,64,0,A pie,0,Minutos
774,H0151,2,21,PL√ÅTANO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Permanente,Febrero,2017,No,2000,,,63,0,Motor,5,Minutos
774,H0151,2,21,ESPINACA,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Agosto,2019,No,2005,Noviembre,2019,63,0,Motor,5,Minutos
774,H0151,2,21,PUERRO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Mayo,2019,No,2005,Junio,2019,63,0,Motor,5,Minutos
774,H0151,2,21,PUERRO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Enero,2019,No,2005,Septiembre,2019,63,0,Motor,5,Minutos
774,H0151,2,21,ESPINACA,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Mayo,2019,No,2005,Febrero,2019,63,0,Motor,5,Minutos
774,H0151,2,21,RABANO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Marzo,2019,No,2005,Abril,2019,63,0,Motor,5,Minutos
774,H0151,2,21,PUERRO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Octubre,2019,No,2005,Abril,2019,63,0,Motor,5,Minutos
774,H0151,2,21,ESPINACA,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Octubre,2019,No,2005,Septiembre,2019,63,0,Motor,5,Minutos
774,H0151,2,21,PUERRO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Marzo,2019,No,2005,Febrero,2019,63,0,Motor,5,Minutos
774,H0151,2,21,RABANO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Octubre,2019,No,2005,Febrero,2019,63,0,Motor,5,Minutos
774,H0151,2,21,RABANO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Agosto,2019,No,2005,Noviembre,2019,63,0,Motor,5,Minutos
774,H0151,2,21,RABANO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Mayo,2019,No,2005,Septiembre,2019,63,0,Motor,5,Minutos
774,H0151,2,21,ESPINACA,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Enero,2019,No,2005,Abril,2019,63,0,Motor,5,Minutos
774,H0151,2,21,PUERRO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Agosto,2019,No,2005,Noviembre,2019,63,0,Motor,5,Minutos
774,H0151,2,21,ESPINACA,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Marzo,2019,No,2005,Junio,2019,63,0,Motor,5,Minutos
774,H0151,2,21,RABANO,MARINGUESES,Espaillat,Moca,2.5151997,40,No,Temporero,Enero,2019,No,2005,Junio,2019,63,0,Motor,5,Minutos
1016,H0152,2,11,RABANO,LA 1,Espaillat,Moca,0.44015995,7,No,Temporero,Septiembre,2019,No,2005,Noviembre,2019,55,0,A pie,1,Minutos
1016,H0152,2,11,RABANO,LA 1,Espaillat,Moca,0.44015995,7,No,Temporero,Enero,2019,No,2005,Agosto,2019,55,0,A pie,1,Minutos
1016,H0152,2,11,PUERRO,LA 1,Espaillat,Moca,0.44015995,7,No,Temporero,Marzo,2019,No,2005,Noviembre,2019,55,0,A pie,1,Minutos
1016,H0152,2,11,PUERRO,LA 1,Espaillat,Moca,0.44015995,7,No,Temporero,Enero,2019,No,2005,Agosto,2019,55,0,A pie,1,Minutos
1016,H0152,2,11,PUERRO,LA 1,Espaillat,Moca,0.44015995,7,No,Temporero,Septiembre,2019,No,2005,Febrero,2019,55,0,A pie,1,Minutos
1016,H0152,2,11,RABANO,LA 1,Espaillat,Moca,0.44015995,7,No,Temporero,Junio,2019,No,2005,Febrero,2019,55,0,A pie,1,Minutos
