,ID,cultivo_x,cultivo_y,superf_par,area,correccion,corregido,corregido2,patca,temporary_,temporary_crop,trends,geometry
0,386311,tabaco,maiz grano/mazorca,4.275839299999999,15123.502,centrar,"se movió hacia arriba y la izquierda, la zona de influencia contiene árboles","ok, revisar tipo cultivo",1,1,1,trend,"POLYGON ((-71.70752739087747 18.89259110561142, -71.70755674351254 18.89239535326548, -71.70764821111132 18.89221781529953, -71.70779284003102 18.89207587030229, -71.70797647294984 18.89198341273733, -71.70818113469778 18.89194949289504, -71.70838679175351 18.89197743102549, -71.70857331319 18.89206449235221, -71.70872244114642 18.89220215477033, -71.70881957797481 18.89237694302495, -71.70885521514607 18.89257174772415, -71.70882586404906 18.89276750008714, -71.70873439755518 18.89294503850634, -71.70858976888518 18.89308698421991, -71.70840613526548 18.89317944249067, -71.70820147213381 18.89321336275861, -71.70799581353999 18.89318542461112, -71.70780929099861 18.89309836283114, -71.70766016279251 18.89296069969669, -71.707563026665 18.89278591073627, -71.70752739087747 18.89259110561142))"
2,396011,sandia,tomate industrial,1.8863997,11223.063,Revisar área,se movió hacía la derecha,ok,0,1,1,trend,"POLYGON ((-70.826473280282 18.39845825404695, -70.82628114408956 18.39759634818283, -70.82646681586401 18.39759706073858, -70.82700829200836 18.39786146781893, -70.82712670973194 18.39817986782597, -70.82720272855551 18.39956088983683, -70.8268781305805 18.39952906034449, -70.82665610134919 18.39843652620638, -70.826473280282 18.39845825404695))"
3,407811,tayota,cafe,3.7727995,8284.331,ok,ok,ok,1,0,0,trend,"POLYGON ((-70.88997596074519 18.74631379485217, -70.89011804347467 18.74613138206752, -70.89024263383121 18.74602528120153, -70.8907448293903 18.74594531902422, -70.89077708838289 18.74648917269514, -70.89066308907709 18.74660515182006, -70.89053409251301 18.74678618462535, -70.89043085060324 18.74692701729002, -70.89014082709275 18.74700109076706, -70.88995548487854 18.74682822676797, -70.88980865608434 18.74681972520262, -70.88972811262285 18.74664580218874, -70.88997596074519 18.74631379485217))"
7,372211,habichuela negra,berenjenas chinas,2.5151997,15126.389,revisar área,"ok, revisar tipo",ok,0,1,1,trend,"POLYGON ((-71.56736712655963 18.34700292192799, -71.56739663416408 18.34680717315273, -71.5674880419855 18.34662971239027, -71.56763240223862 18.34648791067364, -71.5678155839028 18.3463956484442, -71.56801965597748 18.34636195687502, -71.56822464265638 18.34639013387373, -71.56841047862596 18.3464774212824, -71.56855897311753 18.34661527486416, -71.56865559048892 18.34679020064858, -71.5686908730616 18.34698507577791, -71.56866136694128 18.34718082457461, -71.56856996018179 18.34735828577958, -71.56842560016277 18.34750008819076, -71.56824241781545 18.34759235110151, -71.56803834440132 18.34762604307851, -71.56783335623828 18.34759786605836, -71.56764751920677 18.34751057820718, -71.56749902448109 18.34737272393086, -71.56740240779287 18.34719779746512, -71.56736712655963 18.34700292192799))"
8,372311,habichuela negra,berenjenas chinas,2.2636797,15126.342,revisar área,"ok, revisar tipo",ok,0,1,1,trend,"POLYGON ((-71.56868912536729 18.34749692675011, -71.56871863146132 18.34730117795216, -71.56881003803689 18.34712371669724, -71.56895439743067 18.34698191406657, -71.56913757870615 18.34688965059098, -71.56934165090078 18.34685595756552, -71.56954663819657 18.34688413304036, -71.56973247521955 18.34697141900671, -71.56988097109797 18.34710927136889, -71.56997759005391 18.34728419627586, -71.57001287425375 18.34747907095574, -71.56998336964392 18.34767481977503, -71.56989196413039 18.34785228147242, -71.56974760497083 18.34799408479767, -71.5695644230123 18.34808634895464, -71.5693603494782 18.34812004238801, -71.56915536069822 18.34809186689183, -71.56896952261319 18.34800458048301, -71.56882102650054 18.34786672742625, -71.56872440822767 18.34769180183791, -71.56868912536729 18.34749692675011))"
9,372611,limon,pasto,20.121597,14688.362,revisar el tipo de cultivo y el área,ok,ok,1,0,0,trend,"POLYGON ((-70.98750774996526 18.69220620302505, -70.9878159377548 18.69181439960523, -70.98831349327988 18.6913780087094, -70.98878356843622 18.69145818278544, -70.98882941880328 18.6917406656689, -70.98888046821067 18.69210382899838, -70.98898465298556 18.6924167466598, -70.98865124004659 18.692561326889, -70.98809899623504 18.69272150393368, -70.98750774996526 18.69220620302505))"
11,372711,maiz grano/mazorca,maiz grano/mazorca,1.5091197,15141.068,mover hacia el centro del cultivo,Se movió hacia la derecha,ok,0,1,1,trend,"POLYGON ((-70.75734868576315 18.62705503758633, -70.75737914152887 18.6268593230279, -70.75747154485536 18.62668215974134, -70.75761685051626 18.62654088963377, -70.75780083495813 18.626449341107, -70.75800548860987 18.62641647547571, -70.75821077874357 18.62644550980695, -70.75839661034227 18.62653360203034, -70.75854479305934 18.62667212913502, -70.75864082176088 18.6268475312234, -70.7586752963806 18.62704263880998, -70.75864484210506 18.6272383534547, -70.75855243979923 18.62741551723226, -70.75840713429966 18.62755678804801, -70.7582231490981 18.62764833722961, -70.75801849405592 18.62768120321229, -70.75781320243205 18.62765216879476, -70.75762736981264 18.62756407608036, -70.75747918693426 18.6274255482675, -70.7573831589924 18.62725014552429, -70.75734868576315 18.62705503758633))"
13,375511,maiz grano/mazorca,lechoza,1.2575998,15121.785,revisar área,ok,ok,0,1,1,trend,"POLYGON ((-71.77480794059088 18.42517868176724, -71.77483720997751 18.42498293057172, -71.77492842110613 18.42480539324998, -71.77507264544241 18.42466344833032, -71.77525576526747 18.42457099027144, -71.77545985563232 18.4245370694139, -71.77566493894032 18.42456500610735, -71.77585094042091 18.4246520657145, -71.77599965310679 18.42478972629619, -71.77609652000015 18.42496451277453, -71.77613205899917 18.42515931592967, -71.77610279110876 18.42535506713177, -71.77601158106143 18.42553260488835, -71.77586735697851 18.42567455050506, -71.77568423648209 18.42576700925693, -71.77548014477763 18.4258009305387, -71.77527505997342 18.42577299383868, -71.77508905741153 18.42568593379669, -71.77494034447228 18.42554827251795, -71.77484347825028 18.42537348534661, -71.77480794059088 18.42517868176724))"
15,376811,cero,rulo,0.62879992,15121.889,revisar área,ok,ok,0,0,0,trend,"POLYGON ((-71.76867491698356 18.43044566304735, -71.76870419348926 18.43024991185856, -71.76879541335076 18.43007237637531, -71.76893964717893 18.42993043494582, -71.7691227763258 18.42983798168715, -71.76932687493002 18.42980406646999, -71.76953196458851 18.42983200909191, -71.76971796990915 18.42991907433539, -71.76986668354871 18.4300567397096, -71.76996354841596 18.43023152966758, -71.7699990826073 18.43042633464883, -71.76996980759816 18.43062208584471, -71.76987858881783 18.43079962176329, -71.76973435524251 18.43094156389005, -71.76955122542354 18.43103401784162, -71.76934712547903 18.43106793348263, -71.76914203432398 18.43103999085362, -71.76895602792216 18.43095292517482, -71.76880731402976 18.43081525910333, -71.76871044983461 18.43064046845245, -71.76867491698356 18.43044566304735))"
17,378111,cero,arboles maderables,3.7727995,76536.629,mover hacia el centro del cultivo,Se movió hacia abajo y derecha,ok,0,0,0,trend,"POLYGON ((-70.9472271829809 18.72731616752001, -70.94713738367157 18.7286250975803, -70.94707330001896 18.72943452498541, -70.94693685195676 18.72941597466838, -70.94689661016056 18.72864757100664, -70.9467231241935 18.72814015510343, -70.94527722817321 18.72816516879243, -70.94418976445274 18.72837615912931, -70.94434805263255 18.72755576853956, -70.94406865077532 18.7269496021244, -70.9443058823168 18.72661764303024, -70.94434379818109 18.72626778416224, -70.944096632791 18.7257311758297, -70.94558579323406 18.72582553992397, -70.94589297531533 18.72611190438968, -70.94660492180095 18.72605458045541, -70.94683365462622 18.72681103997185, -70.9472271829809 18.72731616752001))"
