cuest_id_b,parcela,cultivo,temporary_,superf_par,Y,X,patca,correccion,corregido,corregido2,area
"3863","11",tabaco,"1",4.275839299999999,18.892192000000001,-71.707841999999999,"1",centrar,"se movió hacia arriba y la izquierda, la zona de influencia contiene árboles","ok, revisar tipo cultivo",15123.502
"3865","12",yuca,"1",1.886399700000000,18.709612000000000,-71.683933999999979,"1",ok,ok,ok,15123.949
"3960","11",sandia,"1",1.886399700000000,18.398572000000001,-70.828074000000001,"0",Revisar área,se movió hacía la derecha,ok,11223.063
"4078","11",tayota,"0",3.772799500000000,18.746476000000001,-70.890227999999979,"1",ok,ok,ok,8284.331
"4114","11",tomate industrial,"1",3.898559600000000,18.431298000000002,-70.845022000000000,"0",ok,ok,"ok, revisar tipo cultivo",15139.726
"3718","11",cero,"0",1.257599800000000,18.424548999999999,-71.781820999999979,"0",revisar área,ok,ok,15121.632
"3720","11",habichuela negra,"1",2.200799700000000,18.317826999999998,-71.593568000000005,"0",mover hacia arriba,ok,ok,15125.844
"3722","11",habichuela negra,"1",2.515199700000000,18.346993999999999,-71.568029000000010,"0",revisar área,"ok, revisar tipo",ok,15126.389
"3723","11",habichuela negra,"1",2.263679700000000,18.347488000000002,-71.569350999999997,"0",revisar área,"ok, revisar tipo",ok,15126.342
"3726","11",limon,"0",20.121597000000001,18.692118000000001,-70.988297000000003,"1",revisar el tipo de cultivo y el área,ok,ok,14688.362
"3727","12",maiz grano/mazorca,"1",9.117598500000000,18.633327999999999,-70.754193999999998,"0",mover hacia el centro del cultivo y revisar área,Se movió hacia arriba y derecha,ok,15141.133
"3727","11",maiz grano/mazorca,"1",1.509119700000000,18.627679999999998,-70.759645000000020,"0",mover hacia el centro del cultivo,Se movió hacia la derecha,ok,15141.068
"3728","11",maiz grano/mazorca,"1",1.886399700000000,18.773367999999998,-70.891993999999997,"1",mover hacia el centro del cultivo,ok,ok,15139.016
"3755","11",maiz grano/mazorca,"1",1.257599800000000,18.425169000000000,-71.775469999999999,"0",revisar área,ok,ok,15121.785
"3767","11",maiz grano/mazorca,"1",1.257599800000000,18.426375000000000,-71.781766000000005,"0",mover hacia el centro del cultivo y revisar área,Se movió hacia la izquierda,ok,15121.601
"3768","11",cero,"0",0.628799920000000,18.430436000000000,-71.769336999999979,"0",revisar área,ok,ok,15121.889
"3776","11",maiz grano/mazorca,"1",3.143999600000000,18.799050000000001,-71.073383999999990,"1",revisar área y mover al centro,Se movió hacia arriba,"ok, árboles",15136.051
"3781","11",cero,"0",3.772799500000000,18.728467000000002,-70.946361999999979,"0",mover hacia el centro del cultivo,Se movió hacia abajo y derecha,ok,76536.629
"3782","12",cero,"0",7.859999200000000,18.746345999999999,-70.914641000000003,"1",revisar área,ok,ok,15138.680
"3787","11",limon,"0",11.632797999999999,18.733992999999998,-70.910390000000021,"1",mover hacia el centro del cultivo y revisar área,Se movió hacia la derecha,ok,14718.448
"3789","11",cero,"0",2.200799700000000,18.725345999999998,-70.892527000000001,"1",revisar área,Se movió hacia arriba,ok,15139.033
"3790","11",limon,"0",12.575998000000000,18.713262000000000,-70.942096000000021,"1",mover hacia el centro del cultivo y revisar área,Se movió hacia la izquierda,ok,15138.248
"3792","11",cero,"0",1.634879800000000,18.505151000000001,-70.587416000000005,"1",revisar área,ok,ok,15143.426
"3807","11",cero,"0",1.257599800000000,18.452732999999998,-70.643343000000002,"0",mover hacia el centro del cultivo y la zona de influencia contiene edificaciones,"Se movió hacia abajo, sin edificaciones",ok,15142.690
"3832","11",pasto,"0",3.143999600000000,18.882355000000000,-71.260454999999979,"1",mover hacia el cenro del cultivo,Se movió hacia abajo,ok,30857.872
"3837","11",pasto,"0",0.943199870000000,18.775981999999999,-71.549012000000005,"1",revisar tipo de cultivo,revisar tipo de cultivo,ok,15126.926
"3846","11",pasto,"0",6.476639300000000,18.924434999999999,-71.518041999999980,"0",revisar área,"Se movió hacia arriba, la zona de influencia contiene arboles","ok, revisar tipo cultivo",15127.612
"3850","11",pasto,"0",2.829599600000000,18.945385999999999,-71.262174000000002,"1",mover hacia el centro del cultivo,Se movió hacia abajo,ok,14305.811
"3861","11",cero,"0",6.036479000000000,18.888173000000002,-71.710383999999991,"1",mover mas hacia el centro del cultivo,Se movió hacia abajo,"ok, árboles",6838.812
"3865","11",pasto,"0",1.571999800000000,18.877540000000000,-71.680492000000001,"1","el punto esta sobre la vía, mover hacia la izquierda",Se movió hacia la izquierda,"ok, arbustos",8558.239
"3870","11",habichuela roja,"1",1.886399700000000,18.819372000000001,-71.150986000000003,"0","Punto sobre árbol, mover hacia abajo",Se movió hacia abjo y a la izquierda,ok,11032.507
"3874","11",habichuela negra,"1",1.886399700000000,18.666923000000001,-71.352907999999999,"1",mover hacia el centro del cultivo,Se movió hacia la derecha y arriba,ok,14318.944
"3880","11",habichuela roja,"1",3.772799500000000,18.764958000000000,-71.563824999999980,"0",mover hacia el centro del cultivo y revisar área,Se movió hacia arriba,ok,18033.060
"3888","11",cero,"0",0.817439910000000,18.678474999999999,-71.341936000000004,"1",revisar área,ok,"ok, árboles",15131.107
"3889","11",habichuela roja,"1",1.886399700000000,18.886785999999997,-71.256215999999981,"0",mover hacia el centro del cultivo y revisar área,"ok, no se movió hacia al centro para que no afecte la zona de influencia",ok,8553.927
"3893","11",habichuela roja,"1",1.886399700000000,18.798548999999998,-71.123672999999997,"1",mover al centro del cultivo y revisar área,Se movió hacia la derecha,ok,19361.014
"3894","11",habichuela roja,"1",1.886399700000000,18.771107999999998,-71.561762000000002,"1",revisar área,ok,ok,15126.636
"3895","11",habichuela roja,"1",1.257599800000000,18.823267000000001,-71.151100999999997,"1",mover hacia el centro del cultivo y revisar el tipo de cultivo,Se movió hacia la derecha,"ok, árboles",15134.740
"3900","11",habichuela roja,"1",0.754559870000000,18.820520000000002,-71.153289999999998,"1",mover hacia el centro del cultivo,Se movió hacia la derecha y abajo,ok,7157.217
"3901","11",habichuela roja,"1",0.943199870000000,18.822064000000001,-71.152366000000001,"1",mover hacia el centro del cultivo,Se movió hacia arriba e izquierda,ok,16985.909
"3903","11",habichuela roja,"1",1.886399700000000,18.802133999999999,-71.123457999999999,"1",ok,ok,ok,15135.205
"3909","11",limon,"0",5.030399299999999,18.533345999999998,-70.805847999999997,"0",mover hacia el centro del cultivo y revisar área,ok,ok,16753.408
"3918","11",guandul,"1",6.287999200000000,18.903489999999998,-70.861008999999996,"0",revisar área,ok,ok,14889.228
"3920","11",guandul,"1",2.829599600000000,18.482028000000000,-70.688896999999997,"1",revisar área y tipo de cultivo,ok,"ok, revisar tipo cultivo",15142.042
"3922","11",habichuela negra,"1",2.515199700000000,18.523028000000000,-70.571575999999979,"1",ok,ok,ok,13773.211
"3923","11",guandul,"1",6.287999200000000,18.754210000000000,-70.843647000000004,"1",mover hacia el centro del cultivo,Se movió hacia la izquierda y arriba,"ok, revisar tipo cultivo",31977.388
"3923","12",cero,"0",5.030399299999999,18.531742999999999,-70.615954000000002,"1",revisar área,Se movió hacia abajo,"ok, árboles",15143.059
"3925","11",limon,"0",0.880319890000000,18.582070000000002,-70.947890000000001,"1",ok,ok,ok,10627.799
"3927","21",habichuela roja,"1",0.943199870000000,18.720926000000002,-70.779257000000001,"1",revisar área,ok,ok,15140.770
"3934","11",guandul,"1",37.727996999999995,18.663992999999998,-70.859514000000004,"1",mover hacia el centro del cultivo y revisar el área,ok,ok,16880.632
"3940","12",cero,"0",0.754559870000000,18.704881000000000,-71.648550000000000,"0",revisar área,ok,ok,15124.757
"3940","11",cero,"0",0.754559870000000,18.680107000000000,-71.652912000000001,"0",revisar área,ok,ok,17257.433
"3949","11",cero,"0",0.628799920000000,18.607032999999998,-70.750887000000020,"1",revisar área,ok,"ok, árboles",15141.162
"3952","11",cero,"0",1.886399700000000,18.681203000000000,-70.889908000000020,"1",revisar área,ok,"ok, árboles",15139.095
"3959","11",mango,"0",1.886399700000000,18.451865999999999,-70.793210999999999,"0",mover hacia el centro del cultivo y revisar el área,Se movió hacia la derecha,ok,27611.000
"3959","12",mango,"0",2.263679700000000,18.453374000000000,-70.807918000000001,"0",revisar área,ok,ok,35090.054
"3962","11",limon,"0",2.200799700000000,18.460706999999999,-70.885187999999999,"0",ok,ok,ok,12023.341
"3964","11",guineo,"0",1.886399700000000,18.411608999999999,-70.737733000000020,"0",mover hacia el centro del cultivo,ok,ok,13931.958
"3968","11",habichuela negra,"1",3.395519500000000,18.648573000000003,-70.872808000000020,"1",revisar área,Se movió hacia la derecha,ok,15139.338
"3968","21",cero,"0",1.571999800000000,18.344586000000000,-70.496266000000020,"1",mover hacia la izquierda,Se movió hacia la izquierda,ok,11373.098
"3978","21",maiz grano/mazorca,"1",2.515199700000000,18.625235000000000,-70.834734999999981,"0",revisar área,ok,ok,14131.897
"3987","11",guandul,"1",2.200799700000000,18.516534000000000,-70.677800000000005,"0",revisar área y tipo de cultivo,ok,ok,8515.407
"3991","11",habichuela negra,"1",5.344799500000001,18.754736999999999,-70.861373999999998,"1",revisar área,ok,ok,11678.803
"4001","11",habichuela negra,"1",3.772799500000000,18.593641000000002,-70.746795000000020,"1",revisar área y tipo de cultivo,Revisar tipo de cultivo,ok,15141.263
"4022","11",cero,"0",0.628799920000000,18.685825000000001,-71.652823999999995,"0",revisar área,ok,ok,13310.012
"4031","11",guandul,"1",7.231199300000000,18.875420999999999,-71.679616999999979,"1",mover hacia el centro del cultivo y revisar el área,Se movió hacia arriba,ok,14317.446
"4034","11",mani,"1",24.774717000000003,18.907774000000000,-71.620269999999991,"1","el punto esta sobre la vía, mover hacia la derecha",Se movió hacia la derecha,ok,14427.945
"4039","11",maiz grano/mazorca,"1",12.575998000000000,18.763881000000001,-71.152081999999979,"0",mover hacia el centro del cultivo,Se movió hacia la izquierda,ok,25970.642
"4043","12",habichuela negra,"1",0.943199870000000,18.612487999999999,-70.726213999999999,"0",mover hacia el centro del cultivo,Se movió hacia abajo,ok,7441.236
"4047","11",limon,"0",1.257599800000000,18.685919999999999,-71.047668000000002,"0",mover hacia el centro del cultivo y revisar área,Se movió hacia abajo,ok,10770.748
"4058","11",habichuela blanca,"1",1.886399700000000,18.879918000000000,-71.562083000000001,"1",revisar área,ok,ok,15126.679
"4061","12",pasto,"0",10.312319000000000,18.782872000000001,-71.316987999999981,"1",Revisar tipo de cultivo,Revisar tipo de cultivo,"ok, árboles",15131.619
"4061","11",maiz grano/mazorca,"1",6.602399300000000,18.842133000000000,-71.541674999999998,"1",revisar área y centrar,Se movió a la derecha ya abajo,"ok, árboles",15127.163
"4062","11",maiz grano/mazorca,"1",1.886399700000000,18.932327999999998,-71.576158000000021,"1",Mover hacia la izquierda,Se movió hacia la izquierda,ok,7622.066
"4065","11",cero,"0",1.886399700000000,18.932323999999998,-71.567653000000021,"1",esta en la vía mover hacia arriba,Se movió hacia arriba,ok,15126.572
"4074","11",cero,"0",1.571999800000000,18.839817000000000,-70.922792999999999,"0",revisar área,ok,ok,15138.581
"4078","13",habichuela roja,"1",1.571999800000000,18.893726999999998,-70.852062000000004,"1",revisar área,ok,"ok, revisar tipo cultivo",15139.693
"4084","12",limon,"0",62.879993000000006,18.712126999999999,-70.971703000000019,"0","zona de influencia contiene edificaciones, revisar área",Se movió hacia la derecha donde había cultivo,ok,13149.500
"4088","11",guandul,"1",1.257599800000000,18.534755000000001,-70.767221000000021,"0",mover hacia el centro del cultivo y revisar área,Se movió hacia arriba,"ok, revisar tipo cultivo",15140.917
"4111","11",habichuela blanca,"1",2.515199700000000,18.870944000000001,-71.566796999999980,"1",mover hacia el centro del cultivo y revisar área,Se movió hacia la derecha,ok,11240.828
"4111","12",pasto,"0",1.886399700000000,18.847534000000000,-71.569125999999997,"1",revisar área,ok,ok,17316.318
"3721","11",plátano,"0",1.886399700000000,18.429945999999997,-71.780366000000001,"0",Centrar,Se movió hacia la izquierda y abajo,ok,13767.735
"4012","11",plátano,"0",2.515199700000000,18.536667999999999,-70.764944000000000,"1","Punto sobre sombra de árbol, revisar tipo de cultivo",Revisar tipo de cultivo,"ok, árboles",12099.392
"3723","12",berenjena,"1",2.515199700000000,18.350104000000002,-71.567941000000005,"0",Revisar el área,"ok, revisar tipo",ok,15126.402
"3727","14",aguacate,"0",9.872159000000000,18.467001999999997,-70.578203999999999,"0",ok,ok,ok,15143.538
"3727","13",auyama,"1",4.087199700000000,18.634757000000000,-70.767437999999999,"0",ok,ok,ok,9974.973
"3782","11",aguacate,"0",8.174399400000000,18.728161000000000,-70.949391000000020,"1",ok,ok,ok,21382.590
"3783","11",cafe,"0",2.200799700000000,18.721062000000000,-70.882014999999996,"1",ok,ok,ok,13221.903
"3783","12",auyama,"1",4.401599400000000,18.902798999999998,-70.858001999999999,"1",ok,ok,"ok, revisar tipo cultivo",15139.621
"3867","11",cebolla,"1",1.886399700000000,18.816430000000000,-71.148405999999980,"1",ok,ok,"ok, revisar tipo cultivo",15134.761
"3868","11",cebolla,"1",1.131839900000000,18.734852000000000,-71.126559999999998,"1",Revisar el área,ok,ok,22199.566
