,PROVINCIA,count,percent,cumulative_count,cumulative_percent
0,AZUA,135,21.46,135,21.46
1,DAJABON,86,13.67,221,35.14
2,PUERTO PLATA,81,12.88,302,48.01
3,ESPAILLAT,76,12.08,378,60.10
4,SANTIAGO RODRIçGUEZ,59,9.38,437,69.48
5,SAN JUAN,50,7.95,487,77.42
6,SANTIAGO,37,5.88,524,83.31
7,INDEPENDENCIA,36,5.72,560,89.03
8,VALVERDE,15,2.38,575,91.41
9,LA VEGA,14,2.23,589,93.64
10,ELIAS PINA,13,2.07,602,95.71
11,PERAVIA,9,1.43,611,97.14
12,MONTE CRISTI,8,1.27,619,98.41
13,HERMANAS MIRABAL,8,1.27,627,99.68
14,MONSE√ëOR NOUEL,2,0.32,629,100
